,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
0,-547.5936889648438,182.50978088378906,37.937355041503906,-16.84651756286621,-1.3917930126190186,1.3248368501663208,-13.556572914123535,-13.16728401184082,-4.734851360321045,-6.718322277069092,-9.740620613098145,-5.135675430297852,-1.8178540468215942,0.6484919786453247,10.452962875366211,22.25206756591797,26.023401260375977,20.18985366821289,8.526167869567871,-4.872424125671387,537.0715714,763.1531525,762.8507233,763.6910248,763.6910248,553.6669922,566.2719727,581.2274933,0.0,0.0,0.0,603.3855438,606.3226318,605.3687668,606.0157776,606.0586166,606.0586166,605.8727264,605.8463669,605.125351,602.765007,602.5244141,602.5244141,603.2049561,766.2913513,766.811676,608.8232422,609.7964859,609.7964859,0.0
1,-507.1546936035156,211.74429321289062,33.21848678588867,-26.41165542602539,-1.870329737663269,0.2627629041671753,-18.93355369567871,-16.659975051879883,-6.1892595291137695,-10.167423248291016,-14.620936393737793,-5.099606037139893,5.729526519775391,6.860226154327393,6.6613054275512695,8.743709564208984,4.979382514953613,-2.161508560180664,-1.549841284751892,7.296624660491943,606.5347672,602.9216385,763.6244965,594.262352,594.262352,584.3269348,575.8210754,567.1755981,557.5959778,547.8930664,547.8930664,539.690094,535.5715561,536.0484314,535.7105637,536.4028168,536.4028168,539.8706818,534.6444321,533.7104034,534.7517395,534.0758514,534.0758514,537.8504562,531.2268448,532.0230484,530.395813,528.454361,528.454361,761.8241882
2,-459.1793212890625,202.46401977539062,22.484058380126953,-27.67426872253418,-2.3582592010498047,-3.913093328475952,-14.265836715698242,-8.834577560424805,-8.871877670288086,-13.530529975891113,-9.774070739746094,-2.7379724979400635,3.329099416732788,7.047333717346191,3.436586618423462,-3.3831658363342285,-5.223750114440918,-2.935584545135498,0.9664732217788696,6.561871528625488,761.3699341,761.3552856,761.2619019,761.9630432,761.9630432,761.4635468,539.2969513,530.4337692,526.4144516,0.0,0.0,0.0,0.0,512.46521,510.4706955,0.0,0.0,0.0,494.4749832,491.3028336,490.8951187,492.0043564,492.0043564,762.5708008,762.1286011,762.3112488,761.8489838,762.2130585,762.2130585,761.162262
3,-446.6307067871094,211.37466430664062,12.299099922180176,-33.203548431396484,-3.327185869216919,-11.966245651245117,-24.265993118286133,-12.778261184692383,-8.485260009765625,-10.596909523010254,-1.4069708585739136,8.347065925598145,7.223057746887207,5.3288044929504395,10.23359203338623,14.152900695800781,12.203747749328613,7.985044479370117,1.749820590019226,-5.613982677459717,761.5103149,760.5094147,760.112381,761.4877319,761.4877319,761.3046265,488.9736938,761.5026855,761.55159,761.0471344,761.0471344,761.5139008,760.8560944,760.9378815,761.464386,761.4640808,761.4640808,761.6304779,761.283493,760.7112122,532.2716141,534.5932388,534.5932388,532.7937317,532.4584198,532.8313446,532.5892639,534.4778061,534.4778061,536.1125565
4,-446.79742431640625,197.1029052734375,14.067633628845215,-33.141448974609375,-8.750936508178711,-13.869656562805176,-21.842527389526367,-10.863059043884277,-10.585891723632812,-13.653010368347168,0.9875121712684631,17.324975967407227,19.42332649230957,15.015857696533203,11.000605583190918,5.888070583343506,-0.15597942471504211,-3.6581807136535645,-3.2947139739990234,-1.9523118734359741,534.7634125,535.1631927,533.5006332,533.9717102,533.9717102,534.5659256,534.276886,535.5554581,535.9176636,760.7126617,760.7126617,761.3305664,762.2380066,761.9963837,761.2245941,761.289978,761.289978,761.3552856,761.0172272,760.5246735,762.3389435,504.5365524,504.5365524,761.1089325,760.9747314,760.3678131,760.5622101,760.674057,760.674057,501.6656494
5,-492.0348815917969,208.95455932617188,19.65365982055664,-33.72599792480469,-1.423891305923462,-1.0726127624511719,-18.90389060974121,-12.454142570495605,-6.758500576019287,-14.424117088317871,-12.304258346557617,-1.2732701301574707,3.199352741241455,7.667699337005615,19.233306884765625,26.91230010986328,22.726173400878906,11.913330078125,0.7602591514587402,-8.618762969970703,761.3032532,762.6898956,760.9860992,760.6356812,760.6356812,760.5789948,760.6864166,760.9090424,761.2911224,760.8332062,760.8332062,761.2251282,761.0125732,761.3794708,761.3285065,762.2071838,762.2071838,761.9372559,761.8725586,508.7962723,509.1903305,511.0164642,511.0164642,510.3139496,755.0562286,749.2573547,0.0,0.0,0.0,508.0270004
6,-454.3773498535156,199.93077087402344,18.21836280822754,-24.473854064941406,0.347199946641922,-10.615139961242676,-21.131389617919922,-6.572908878326416,-4.916318893432617,-13.580824851989746,-8.437102317810059,0.8922422528266907,7.231734275817871,18.240432739257812,26.522607803344727,21.229171752929688,7.178901672363281,-6.460872173309326,-13.615220069885254,-10.372749328613281,506.2650681,509.0296555,507.744751,702.7709198,702.7709198,709.4848633,717.7141571,722.6610565,727.4498749,729.1435242,729.1435242,730.9637451,504.0727997,728.9559937,729.1955566,728.8185883,728.8185883,731.0133362,730.9507751,734.6324158,736.9159698,739.3234253,739.3234253,741.2499237,741.0005188,741.5658569,735.885849,725.1179504,725.1179504,494.546814
7,-476.2798156738281,201.98936462402344,32.27329635620117,-24.42032814025879,-4.893424034118652,-5.271728038787842,-17.329465866088867,-9.989505767822266,-5.438293933868408,-12.230664253234863,-9.508658409118652,2.3022873401641846,9.717086791992188,14.790215492248535,19.086015701293945,15.094273567199707,2.6060237884521484,-9.813451766967773,-14.4818115234375,-9.099027633666992,487.0248032,475.7291031,465.2584839,452.654953,452.654953,442.5886154,438.0653,688.9977264,432.6543427,712.2008514,712.2008514,726.3026428,728.9469147,732.1527863,732.8094482,437.2504425,437.2504425,437.234993,436.1246872,432.0917511,430.0029755,428.4746933,428.4746933,429.5372772,427.8625488,430.0321579,757.3249054,759.0811157,759.0811157,763.0314636
8,-442.83575439453125,232.58387756347656,33.490684509277344,-29.086807250976562,-6.880631923675537,-8.050973892211914,-18.334993362426758,-9.56069278717041,-5.3451690673828125,-9.535001754760742,-5.306895732879639,3.7424986362457275,7.10038948059082,4.27813720703125,-3.1761577129364014,-11.7443208694458,-14.942888259887695,-11.699798583984375,-6.739676475524902,-3.0538551807403564,764.4955444,766.7569733,771.2283325,770.9866333,770.9866333,771.0324097,766.7970276,763.7083435,434.3235016,437.4491882,437.4491882,761.0247803,448.4150696,450.9651566,453.6845016,761.1327362,761.1327362,758.0744171,455.6773376,738.4470367,455.5386734,456.1214447,456.1214447,675.4867554,455.4272461,455.5990219,455.650177,455.8144379,455.8144379,454.2754364
9,-437.2898254394531,249.4679412841797,34.99925231933594,-29.343307495117188,-1.6738017797470093,-0.3736940920352936,-11.795000076293945,-7.493296146392822,-6.496541976928711,-9.060775756835938,-2.589275598526001,4.932864665985107,2.3436973094940186,-6.731555461883545,-12.997832298278809,-14.455817222595215,-13.26274585723877,-8.046485900878906,-1.774319052696228,-1.3737781047821045,452.599678,450.6065369,681.5798187,687.4170685,687.4170685,446.4948654,692.7459717,693.9530182,700.1926422,454.425087,454.425087,705.5400848,702.614975,705.666275,704.8043823,701.2399292,701.2399292,694.6957397,436.648407,436.1543655,658.3088684,435.6626129,435.6626129,638.9256668,629.0103912,622.6444244,618.3796692,613.9889526,613.9889526,613.9029694
